"","alpha","Layers","FDR","Power"
"75",0.15,3,0.5,0.0276679841897233
"76",0.15,4,0.5,0.0276679841897233
"77",0.2,1,0,0.0158102766798419
"78",0.2,2,0,0.0158102766798419
"79",0.2,3,0.466666666666667,0.0316205533596838
"80",0.2,4,0.466666666666667,0.0316205533596838
"81",0.05,1,0,0
"82",0.05,2,0,0.0141843971631206
"83",0.05,3,0,0.0141843971631206
"84",0.05,4,0,0.0141843971631206
"85",0.1,1,0,0
"86",0.1,2,0.5,0.0177304964539007
"87",0.1,3,0.5,0.0177304964539007
"88",0.1,4,0.5,0.0177304964539007
"89",0.15,1,0,0
"90",0.15,2,0.5,0.0177304964539007
"91",0.15,3,0.5,0.0177304964539007
"92",0.15,4,0.5,0.0177304964539007
"93",0.2,1,0,0.0177304964539007
"94",0.2,2,0.363636363636364,0.024822695035461
"95",0.2,3,0.363636363636364,0.024822695035461
"96",0.2,4,0.25,0.0425531914893617
"97",0.05,1,0,0
"98",0.05,2,0.166666666666667,0.0204081632653061
"99",0.05,3,0.166666666666667,0.0204081632653061
"100",0.05,4,0.166666666666667,0.0204081632653061
"101",0.1,1,0,0
"102",0.1,2,0.5,0.0204081632653061
"103",0.1,3,0.5,0.0204081632653061
"104",0.1,4,0.5,0.0204081632653061
"105",0.15,1,0,0.00408163265306122
"106",0.15,2,0.555555555555556,0.0163265306122449
"107",0.15,3,0.555555555555556,0.0163265306122449
"108",0.15,4,0.54,0.0938775510204082
"109",0.2,1,0,0.00408163265306122
"110",0.2,2,0.545454545454545,0.0204081632653061
"111",0.2,3,0.545454545454545,0.0204081632653061
"112",0.2,4,0.537037037037037,0.102040816326531
"113",0.05,1,0,0
"114",0.05,2,0.375,0.0202429149797571
"115",0.05,3,0.375,0.0202429149797571
"116",0.05,4,0.375,0.0202429149797571
"117",0.1,1,0,0
"118",0.1,2,0.3,0.0283400809716599
"119",0.1,3,0.3,0.0283400809716599
"120",0.1,4,0.3,0.0283400809716599
"121",0.15,1,0,0
"122",0.15,2,0.3,0.0283400809716599
"123",0.15,3,0.3,0.0283400809716599
"124",0.15,4,0.5,0.0323886639676113
"125",0.2,1,0,0
"126",0.2,2,0.3,0.0283400809716599
"127",0.2,3,0.3,0.0283400809716599
"128",0.2,4,0.5,0.0323886639676113
"129",0.05,1,0,0
"130",0.05,2,0,0.016
"131",0.05,3,0,0.016
"132",0.05,4,0,0.016
"133",0.1,1,0,0
"134",0.1,2,0,0.016
"135",0.1,3,0,0.016
"136",0.1,4,0,0.016
"137",0.15,1,0,0.032
"138",0.15,2,0,0.04
"139",0.15,3,0,0.04
"140",0.15,4,0,0.04
"141",0.2,1,0,0.032
"142",0.2,2,0.166666666666667,0.04
"143",0.2,3,0.352941176470588,0.044
"144",0.2,4,0.352941176470588,0.044
"145",0.05,1,0,0
"146",0.05,2,0,0.0257510729613734
"147",0.05,3,0,0.0257510729613734
"148",0.05,4,0,0.0257510729613734
"149",0.1,1,0,0
"150",0.1,2,0.125,0.0300429184549356
"151",0.1,3,0.0666666666666667,0.0600858369098712
"152",0.1,4,0.0666666666666667,0.0600858369098712
"153",0.15,1,0,0.00429184549356223
"154",0.15,2,0.142857142857143,0.0257510729613734
"155",0.15,3,0.0714285714285714,0.055793991416309
"156",0.15,4,0.0714285714285714,0.055793991416309
"157",0.2,1,0,0.00429184549356223
"158",0.2,2,0.35,0.055793991416309
"159",0.2,3,0.35,0.055793991416309
"160",0.2,4,0.35,0.055793991416309
"161",0.05,1,0,0
"162",0.05,2,0,0.0163934426229508
"163",0.05,3,0,0.0163934426229508
"164",0.05,4,0,0.0163934426229508
"165",0.1,1,0,0
"166",0.1,2,0,0.0163934426229508
"167",0.1,3,0,0.0163934426229508
"168",0.1,4,0,0.0163934426229508
"169",0.15,1,0,0
"170",0.15,2,0.222222222222222,0.0286885245901639
"171",0.15,3,0.222222222222222,0.0286885245901639
"172",0.15,4,0.222222222222222,0.0286885245901639
"173",0.2,1,0.25,0.0122950819672131
"174",0.2,2,0.111111111111111,0.0327868852459016
"175",0.2,3,0.111111111111111,0.0327868852459016
"176",0.2,4,0.111111111111111,0.0327868852459016
"177",0.05,1,0,0
"178",0.05,2,0,0.00823045267489712
"179",0.05,3,0,0.00823045267489712
"180",0.05,4,0,0.00823045267489712
"181",0.1,1,0,0
"182",0.1,2,0,0.0164609053497942
"183",0.1,3,0,0.0164609053497942
"184",0.1,4,0,0.0164609053497942
"185",0.15,1,0,0
"186",0.15,2,0,0.0164609053497942
"187",0.15,3,0,0.0164609053497942
"188",0.15,4,0,0.0164609053497942
"189",0.2,1,0,0
"190",0.2,2,0,0.0164609053497942
"191",0.2,3,0,0.0164609053497942
"192",0.2,4,0,0.0164609053497942
"193",0.05,1,0,0
"194",0.05,2,0,0.0223880597014925
"195",0.05,3,0,0.0223880597014925
"196",0.05,4,0,0.0223880597014925
"197",0.1,1,0,0
"198",0.1,2,0,0.0223880597014925
"199",0.1,3,0,0.0223880597014925
"200",0.1,4,0,0.0223880597014925
"201",0.15,1,0,0.0111940298507463
"202",0.15,2,0,0.0186567164179104
"203",0.15,3,0,0.0186567164179104
"204",0.15,4,0.166666666666667,0.0373134328358209
"205",0.2,1,0.166666666666667,0.0186567164179104
"206",0.2,2,0.166666666666667,0.0186567164179104
"207",0.2,3,0.166666666666667,0.0186567164179104
"208",0.2,4,0.230769230769231,0.0373134328358209
"209",0.05,1,0,0
"210",0.05,2,0,0.00790513833992095
"211",0.05,3,0,0.00790513833992095
"212",0.05,4,0,0.00790513833992095
"213",0.1,1,0,0
"214",0.1,2,0,0.0158102766798419
"215",0.1,3,0,0.0158102766798419
"216",0.1,4,0.4,0.0237154150197628
"217",0.15,1,0,0
"218",0.15,2,0.111111111111111,0.0316205533596838
"219",0.15,3,0.111111111111111,0.0316205533596838
"220",0.15,4,0.333333333333333,0.0395256916996047
"221",0.2,1,0,0
"222",0.2,2,0.111111111111111,0.0316205533596838
"223",0.2,3,0.111111111111111,0.0316205533596838
"224",0.2,4,0.333333333333333,0.0395256916996047
"225",0.05,1,0,0
"226",0.05,2,0,0.00772200772200772
"227",0.05,3,0,0.00772200772200772
"228",0.05,4,0,0.00772200772200772
"229",0.1,1,0,0
"230",0.1,2,0,0.00772200772200772
"231",0.1,3,0,0.00772200772200772
"232",0.1,4,0,0.00772200772200772
"233",0.15,1,0.142857142857143,0.0231660231660232
"234",0.15,2,0.142857142857143,0.0231660231660232
"235",0.15,3,0.3,0.027027027027027
"236",0.15,4,0.565217391304348,0.0386100386100386
"237",0.2,1,0.142857142857143,0.0231660231660232
"238",0.2,2,0.142857142857143,0.0231660231660232
"239",0.2,3,0.3,0.027027027027027
"240",0.2,4,0.565217391304348,0.0386100386100386
"241",0.05,1,0,0
"242",0.05,2,0.111111111111111,0.0308880308880309
"243",0.05,3,0.111111111111111,0.0308880308880309
"244",0.05,4,0.111111111111111,0.0308880308880309
"245",0.1,1,0,0.0347490347490347
"246",0.1,2,0.0909090909090909,0.0386100386100386
"247",0.1,3,0.0909090909090909,0.0386100386100386
"248",0.1,4,0.0909090909090909,0.0386100386100386
"249",0.15,1,0,0.0347490347490347
"250",0.15,2,0.0909090909090909,0.0386100386100386
"251",0.15,3,0.0909090909090909,0.0386100386100386
"252",0.15,4,0.0909090909090909,0.0386100386100386
"253",0.2,1,0,0.0347490347490347
"254",0.2,2,0.0909090909090909,0.0386100386100386
"255",0.2,3,0.0909090909090909,0.0386100386100386
"256",0.2,4,0.337078651685393,0.227799227799228
"257",0.05,1,0,0
"258",0.05,2,0.6,0.00754716981132075
"259",0.05,3,0.285714285714286,0.0377358490566038
"260",0.05,4,0.285714285714286,0.0377358490566038
"261",0.1,1,0,0
"262",0.1,2,0.416666666666667,0.0528301886792453
"263",0.1,3,0.416666666666667,0.0528301886792453
"264",0.1,4,0.416666666666667,0.0528301886792453
"265",0.15,1,0.181818181818182,0.0339622641509434
"266",0.15,2,0.269230769230769,0.0716981132075472
"267",0.15,3,0.285714285714286,0.0754716981132075
"268",0.15,4,0.285714285714286,0.0754716981132075
"269",0.2,1,0.181818181818182,0.0339622641509434
"270",0.2,2,0.285714285714286,0.0754716981132075
"271",0.2,3,0.3,0.0792452830188679
"272",0.2,4,0.314285714285714,0.0905660377358491
"273",0.05,1,0,0
"274",0.05,2,0.166666666666667,0.0204918032786885
"275",0.05,3,0.166666666666667,0.0204918032786885
"276",0.05,4,0.166666666666667,0.0204918032786885
"277",0.1,1,0,0
"278",0.1,2,0.25,0.0245901639344262
"279",0.1,3,0.25,0.0245901639344262
"280",0.1,4,0.0909090909090909,0.0819672131147541
"281",0.15,1,0.222222222222222,0.0286885245901639
"282",0.15,2,0.181818181818182,0.0368852459016393
"283",0.15,3,0.181818181818182,0.0368852459016393
"284",0.15,4,0.08,0.0942622950819672
"285",0.2,1,0.25,0.0368852459016393
"286",0.2,2,0.25,0.0491803278688525
"287",0.2,3,0.25,0.0491803278688525
"288",0.2,4,0.133333333333333,0.10655737704918
"289",0.05,1,0,0
"290",0.05,2,0,0.0158730158730159
"291",0.05,3,0,0.0158730158730159
"292",0.05,4,0,0.0158730158730159
"293",0.1,1,0,0
"294",0.1,2,0,0.0158730158730159
"295",0.1,3,0,0.0158730158730159
"296",0.1,4,0,0.0158730158730159
"297",0.15,1,0,0.0158730158730159
"298",0.15,2,0,0.0317460317460317
"299",0.15,3,0,0.0317460317460317
"300",0.15,4,0,0.0317460317460317
"301",0.2,1,0,0.0158730158730159
"302",0.2,2,0,0.0317460317460317
"303",0.2,3,0.25,0.0357142857142857
"304",0.2,4,0.25,0.0357142857142857
"305",0.05,1,0,0
"306",0.05,2,0,0.00778210116731518
"307",0.05,3,0,0.00778210116731518
"308",0.05,4,0,0.00778210116731518
"309",0.1,1,0,0.00778210116731518
"310",0.1,2,0,0.0155642023346304
"311",0.1,3,0,0.0155642023346304
"312",0.1,4,0.5625,0.0272373540856031
"313",0.15,1,0,0.0233463035019455
"314",0.15,2,0,0.0233463035019455
"315",0.15,3,0,0.0233463035019455
"316",0.15,4,0.5,0.0350194552529183
"317",0.2,1,0.1,0.0350194552529183
"318",0.2,2,0.1,0.0350194552529183
"319",0.2,3,0.1,0.0350194552529183
"320",0.2,4,0.1,0.0350194552529183
"321",0.05,1,0,0
"322",0.05,2,0.166666666666667,0.0197628458498024
"323",0.05,3,0.166666666666667,0.0197628458498024
"324",0.05,4,0.166666666666667,0.0197628458498024
"325",0.1,1,0.25,0.0118577075098814
"326",0.1,2,0.25,0.0237154150197628
"327",0.1,3,0.25,0.0237154150197628
"328",0.1,4,0.103448275862069,0.102766798418972
"329",0.15,1,0.25,0.0118577075098814
"330",0.15,2,0.25,0.0237154150197628
"331",0.15,3,0.25,0.0474308300395257
"332",0.15,4,0.25,0.0474308300395257
"333",0.2,1,0.333333333333333,0.0237154150197628
"334",0.2,2,0.272727272727273,0.0316205533596838
"335",0.2,3,0.176470588235294,0.0553359683794466
"336",0.2,4,0.111111111111111,0.0948616600790514
"337",0.05,1,0,0
"338",0.05,2,0.166666666666667,0.0193798449612403
"339",0.05,3,0.166666666666667,0.0193798449612403
"340",0.05,4,0.166666666666667,0.0193798449612403
"341",0.1,1,0,0
"342",0.1,2,0.166666666666667,0.0193798449612403
"343",0.1,3,0.166666666666667,0.0193798449612403
"344",0.1,4,0.166666666666667,0.0193798449612403
"345",0.15,1,0,0.00387596899224806
"346",0.15,2,0.142857142857143,0.0232558139534884
"347",0.15,3,0.142857142857143,0.0232558139534884
"348",0.15,4,0.142857142857143,0.0232558139534884
"349",0.2,1,0.5,0.00387596899224806
"350",0.2,2,0.25,0.0232558139534884
"351",0.2,3,0.25,0.0232558139534884
"352",0.2,4,0.25,0.0232558139534884
"353",0.05,1,0,0
"354",0.05,2,0,0.016
"355",0.05,3,0.125,0.084
"356",0.05,4,0.189189189189189,0.12
"357",0.1,1,0,0
"358",0.1,2,0.5,0.036
"359",0.1,3,0.5,0.036
"360",0.1,4,0.288888888888889,0.128
"361",0.15,1,0.454545454545455,0.024
"362",0.15,2,0.454545454545455,0.024
"363",0.15,3,0.27027027027027,0.108
"364",0.15,4,0.27027027027027,0.108
"365",0.2,1,0.416666666666667,0.028
"366",0.2,2,0.4,0.048
"367",0.2,3,0.342857142857143,0.092
"368",0.2,4,0.342857142857143,0.092
"369",0.05,1,0,0
"370",0.05,2,0,0.00836820083682008
"371",0.05,3,0.380952380952381,0.0543933054393305
"372",0.05,4,0.380952380952381,0.0543933054393305
"373",0.1,1,0,0
"374",0.1,2,0.5,0.0334728033472803
"375",0.1,3,0.5,0.0334728033472803
"376",0.1,4,0.296296296296296,0.0794979079497908
"377",0.15,1,0,0.00418410041841004
"378",0.15,2,0.533333333333333,0.0292887029288703
"379",0.15,3,0.533333333333333,0.0292887029288703
"380",0.15,4,0.307692307692308,0.0753138075313808
"381",0.2,1,0.2,0.0167364016736402
"382",0.2,2,0.411764705882353,0.0418410041841004
"383",0.2,3,0.411764705882353,0.0418410041841004
"384",0.2,4,0.25,0.0878661087866109
"385",0.05,1,0,0
"386",0.05,2,0,0.0147058823529412
"387",0.05,3,0,0.0147058823529412
"388",0.05,4,0,0.0147058823529412
"389",0.1,1,0,0
"390",0.1,2,0,0.0147058823529412
"391",0.1,3,0,0.0147058823529412
"392",0.1,4,0,0.0147058823529412
"393",0.15,1,0,0
"394",0.15,2,0,0.0147058823529412
"395",0.15,3,0,0.0147058823529412
"396",0.15,4,0,0.0147058823529412
"397",0.2,1,0.25,0.0220588235294118
"398",0.2,2,0.2,0.0294117647058824
"399",0.2,3,0.466666666666667,0.0294117647058824
"400",0.2,4,0.466666666666667,0.0294117647058824
"401",0.05,1,0,0
"402",0.05,2,0.222222222222222,0.0252707581227437
"403",0.05,3,0.222222222222222,0.0252707581227437
"404",0.05,4,0.222222222222222,0.0252707581227437
"405",0.1,1,0,0
"406",0.1,2,0.222222222222222,0.0252707581227437
"407",0.1,3,0.222222222222222,0.0252707581227437
"408",0.1,4,0.222222222222222,0.0252707581227437
"409",0.15,1,0,0
"410",0.15,2,0.181818181818182,0.0324909747292419
"411",0.15,3,0.181818181818182,0.0324909747292419
"412",0.15,4,0.181818181818182,0.0324909747292419
"413",0.2,1,0,0.0072202166064982
"414",0.2,2,0.153846153846154,0.0397111913357401
"415",0.2,3,0.153846153846154,0.0397111913357401
"416",0.2,4,0.153846153846154,0.0397111913357401
"417",0.05,1,0,0
"418",0.05,2,0.166666666666667,0.0192307692307692
"419",0.05,3,0.166666666666667,0.0192307692307692
"420",0.05,4,0.166666666666667,0.0192307692307692
"421",0.1,1,0,0
"422",0.1,2,0.166666666666667,0.0192307692307692
"423",0.1,3,0.166666666666667,0.0192307692307692
"424",0.1,4,0.166666666666667,0.0192307692307692
"425",0.15,1,0.142857142857143,0.0230769230769231
"426",0.15,2,0.181818181818182,0.0346153846153846
"427",0.15,3,0.181818181818182,0.0346153846153846
"428",0.15,4,0.181818181818182,0.0346153846153846
"429",0.2,1,0.2,0.0307692307692308
"430",0.2,2,0.166666666666667,0.0384615384615385
"431",0.2,3,0.166666666666667,0.0384615384615385
"432",0.2,4,0.166666666666667,0.0384615384615385
"433",0.05,1,0,0
"434",0.05,2,0.222222222222222,0.0269230769230769
"435",0.05,3,0.222222222222222,0.0269230769230769
"436",0.05,4,0.222222222222222,0.0269230769230769
"437",0.1,1,0,0
"438",0.1,2,0.307692307692308,0.0346153846153846
"439",0.1,3,0.307692307692308,0.0346153846153846
"440",0.1,4,0.307692307692308,0.0346153846153846
"441",0.15,1,0,0.0230769230769231
"442",0.15,2,0.153846153846154,0.0423076923076923
"443",0.15,3,0.153846153846154,0.0423076923076923
"444",0.15,4,0.153846153846154,0.0423076923076923
"445",0.2,1,0.125,0.0269230769230769
"446",0.2,2,0.2,0.0461538461538462
"447",0.2,3,0.2,0.0461538461538462
"448",0.2,4,0.2,0.0461538461538462
"449",0.05,1,0,0
"450",0.05,2,0,0.0169491525423729
"451",0.05,3,0,0.0169491525423729
"452",0.05,4,0,0.0169491525423729
"453",0.1,1,0,0
"454",0.1,2,0,0.0254237288135593
"455",0.1,3,0,0.0254237288135593
"456",0.1,4,0,0.0254237288135593
"457",0.15,1,0,0
"458",0.15,2,0,0.0254237288135593
"459",0.15,3,0,0.0254237288135593
"460",0.15,4,0,0.0254237288135593
"461",0.2,1,0,0
"462",0.2,2,0,0.0254237288135593
"463",0.2,3,0,0.0254237288135593
"464",0.2,4,0,0.0254237288135593
"465",0.05,1,0,0
"466",0.05,2,0,0.00806451612903226
"467",0.05,3,0,0.00806451612903226
"468",0.05,4,0,0.00806451612903226
"469",0.1,1,0.5,0.00403225806451613
"470",0.1,2,0.125,0.0282258064516129
"471",0.1,3,0.125,0.0282258064516129
"472",0.1,4,0.125,0.0282258064516129
"473",0.15,1,0.166666666666667,0.0201612903225806
"474",0.15,2,0.166666666666667,0.0201612903225806
"475",0.15,3,0.166666666666667,0.0201612903225806
"476",0.15,4,0.166666666666667,0.0201612903225806
"477",0.2,1,0.363636363636364,0.0282258064516129
"478",0.2,2,0.307692307692308,0.0362903225806452
"479",0.2,3,0.235294117647059,0.0524193548387097
"480",0.2,4,0.347826086956522,0.0604838709677419
"481",0.05,1,0,0
"482",0.05,2,0.111111111111111,0.0340425531914894
"483",0.05,3,0.111111111111111,0.0340425531914894
"484",0.05,4,0.111111111111111,0.0340425531914894
"485",0.1,1,0,0
"486",0.1,2,0.111111111111111,0.0340425531914894
"487",0.1,3,0.111111111111111,0.0340425531914894
"488",0.1,4,0.111111111111111,0.0340425531914894
"489",0.15,1,0.125,0.0297872340425532
"490",0.15,2,0.0909090909090909,0.0425531914893617
"491",0.15,3,0.0909090909090909,0.0425531914893617
"492",0.15,4,0.0909090909090909,0.0425531914893617
"493",0.2,1,0.0714285714285714,0.0553191489361702
"494",0.2,2,0.0714285714285714,0.0553191489361702
"495",0.2,3,0.0714285714285714,0.0553191489361702
"496",0.2,4,0.0714285714285714,0.0553191489361702
"497",0.05,1,0,0
"498",0.05,2,0,0.00790513833992095
"499",0.05,3,0,0.00790513833992095
"500",0.05,4,0,0.00790513833992095
"501",0.1,1,0,0
"502",0.1,2,0.333333333333333,0.0158102766798419
"503",0.1,3,0.333333333333333,0.0158102766798419
"504",0.1,4,0.333333333333333,0.0158102766798419
"505",0.15,1,0.5,0.00790513833992095
"506",0.15,2,0.333333333333333,0.0158102766798419
"507",0.15,3,0.333333333333333,0.0158102766798419
"508",0.15,4,0.333333333333333,0.0158102766798419
"509",0.2,1,0.3,0.0276679841897233
"510",0.2,2,0.25,0.0355731225296443
"511",0.2,3,0.25,0.0355731225296443
"512",0.2,4,0.25,0.0355731225296443
"513",0.05,1,0,0
"514",0.05,2,0.375,0.0403225806451613
"515",0.05,3,0.476190476190476,0.0443548387096774
"516",0.05,4,0.476190476190476,0.0443548387096774
"517",0.1,1,0,0
"518",0.1,2,0.416666666666667,0.0564516129032258
"519",0.1,3,0.482758620689655,0.0604838709677419
"520",0.1,4,0.482758620689655,0.0604838709677419
"521",0.15,1,0,0.0282258064516129
"522",0.15,2,0.36,0.0645161290322581
"523",0.15,3,0.433333333333333,0.0685483870967742
"524",0.15,4,0.433333333333333,0.0685483870967742
"525",0.2,1,0.133333333333333,0.0524193548387097
"526",0.2,2,0.333333333333333,0.0645161290322581
"527",0.2,3,0.333333333333333,0.0645161290322581
"528",0.2,4,0.333333333333333,0.0645161290322581
"529",0.05,1,0,0
"530",0.05,2,0.428571428571429,0.0149812734082397
"531",0.05,3,0.428571428571429,0.0149812734082397
"532",0.05,4,0.428571428571429,0.0149812734082397
"533",0.1,1,0,0.00749063670411985
"534",0.1,2,0.4,0.0112359550561798
"535",0.1,3,0.590909090909091,0.0337078651685393
"536",0.1,4,0.590909090909091,0.0337078651685393
"537",0.15,1,0,0.00749063670411985
"538",0.15,2,0.333333333333333,0.0224719101123595
"539",0.15,3,0.333333333333333,0.0224719101123595
"540",0.15,4,0.333333333333333,0.0224719101123595
"541",0.2,1,0.333333333333333,0.0299625468164794
"542",0.2,2,0.333333333333333,0.0299625468164794
"543",0.2,3,0.333333333333333,0.0299625468164794
"544",0.2,4,0.333333333333333,0.0299625468164794
"545",0.05,1,0,0
"546",0.05,2,0.166666666666667,0.0198412698412698
"547",0.05,3,0.166666666666667,0.0198412698412698
"548",0.05,4,0.416666666666667,0.0277777777777778
"549",0.1,1,0,0
"550",0.1,2,0.444444444444444,0.0198412698412698
"551",0.1,3,0.444444444444444,0.0198412698412698
"552",0.1,4,0.533333333333333,0.0277777777777778
"553",0.15,1,0.588235294117647,0.0277777777777778
"554",0.15,2,0.526315789473684,0.0357142857142857
"555",0.15,3,0.526315789473684,0.0357142857142857
"556",0.15,4,0.526315789473684,0.0357142857142857
"557",0.2,1,0.5,0.0396825396825397
"558",0.2,2,0.5,0.0396825396825397
"559",0.2,3,0.5,0.0396825396825397
"560",0.2,4,0.5,0.0396825396825397
"561",0.05,1,0,0
"562",0.05,2,0,0.0153846153846154
"563",0.05,3,0,0.0153846153846154
"564",0.05,4,0,0.0153846153846154
"565",0.1,1,0,0
"566",0.1,2,0,0.0153846153846154
"567",0.1,3,0,0.0153846153846154
"568",0.1,4,0,0.0153846153846154
"569",0.15,1,0,0
"570",0.15,2,0,0.0153846153846154
"571",0.15,3,0,0.0153846153846154
"572",0.15,4,0,0.0153846153846154
"573",0.2,1,0.214285714285714,0.0423076923076923
"574",0.2,2,0.214285714285714,0.0423076923076923
"575",0.2,3,0.214285714285714,0.0423076923076923
"576",0.2,4,0.125,0.0807692307692308
"577",0.05,1,0,0
"578",0.05,2,0,0.0163934426229508
"579",0.05,3,0,0.0163934426229508
"580",0.05,4,0,0.0163934426229508
"581",0.1,1,0.5,0.00409836065573771
"582",0.1,2,0.25,0.0122950819672131
"583",0.1,3,0.25,0.0122950819672131
"584",0.1,4,0.25,0.0122950819672131
"585",0.15,1,0.4,0.0122950819672131
"586",0.15,2,0.285714285714286,0.0204918032786885
"587",0.15,3,0.285714285714286,0.0204918032786885
"588",0.15,4,0.285714285714286,0.0204918032786885
"589",0.2,1,0.4,0.0122950819672131
"590",0.2,2,0.285714285714286,0.0204918032786885
"591",0.2,3,0.285714285714286,0.0204918032786885
"592",0.2,4,0.285714285714286,0.0204918032786885
"593",0.05,1,0,0
"594",0.05,2,0,0.016597510373444
"595",0.05,3,0,0.016597510373444
"596",0.05,4,0,0.016597510373444
"597",0.1,1,0,0
"598",0.1,2,0.333333333333333,0.016597510373444
"599",0.1,3,0.764705882352941,0.016597510373444
"600",0.1,4,0.764705882352941,0.016597510373444
"601",0.15,1,0.714285714285714,0.00829875518672199
"602",0.15,2,0.555555555555556,0.016597510373444
"603",0.15,3,0.8,0.016597510373444
"604",0.15,4,0.8,0.016597510373444
"605",0.2,1,0.714285714285714,0.00829875518672199
"606",0.2,2,0.555555555555556,0.016597510373444
"607",0.2,3,0.8,0.016597510373444
"608",0.2,4,0.8,0.016597510373444
"609",0.05,1,0,0.0130434782608696
"610",0.05,2,0,0.0217391304347826
"611",0.05,3,0,0.0217391304347826
"612",0.05,4,0,0.0217391304347826
"613",0.1,1,0,0.0130434782608696
"614",0.1,2,0,0.0217391304347826
"615",0.1,3,0,0.0217391304347826
"616",0.1,4,0,0.0217391304347826
"617",0.15,1,0,0.0217391304347826
"618",0.15,2,0,0.0217391304347826
"619",0.15,3,0.5,0.0521739130434783
"620",0.15,4,0.5,0.0521739130434783
"621",0.2,1,0.142857142857143,0.0260869565217391
"622",0.2,2,0.142857142857143,0.0260869565217391
"623",0.2,3,0.277777777777778,0.0565217391304348
"624",0.2,4,0.277777777777778,0.0565217391304348
"625",0.05,1,0,0
"626",0.05,2,0.166666666666667,0.020746887966805
"627",0.05,3,0.166666666666667,0.020746887966805
"628",0.05,4,0.166666666666667,0.020746887966805
"629",0.1,1,0,0
"630",0.1,2,0.375,0.020746887966805
"631",0.1,3,0.375,0.020746887966805
"632",0.1,4,0.166666666666667,0.0622406639004149
"633",0.15,1,0.333333333333333,0.00829875518672199
"634",0.15,2,0.444444444444444,0.020746887966805
"635",0.15,3,0.416666666666667,0.029045643153527
"636",0.15,4,0.227272727272727,0.0705394190871369
"637",0.2,1,0.25,0.024896265560166
"638",0.2,2,0.25,0.037344398340249
"639",0.2,3,0.25,0.037344398340249
"640",0.2,4,0.259259259259259,0.0829875518672199
"641",0.05,1,0,0
"642",0.05,2,0.333333333333333,0.0155642023346304
"643",0.05,3,0.333333333333333,0.0155642023346304
"644",0.05,4,0.333333333333333,0.0155642023346304
"645",0.1,1,0,0
